,,,role,target,hate_speech,verbal_abuse,humor
[2019-06-13 16:19:32], <Silvia_Victime>, Sophie doit aller s'acheter un cerveau,victim,bully,yes,denigration,no
[2019-06-13 16:19:35], <michel_soutienv>, ca on sait pas il est ptet gay ,victim_support,none,no,none,no
[2019-06-13 16:19:37], <Silvia_Victime>, elle est pas très maligne,victim,none,no,denigration,no
[2019-06-13 16:19:48], <Silvia_Victime>, la grosse c'est toi,victim,bully,yes,denigration,no
[2019-06-13 16:19:54], <Lisa_soutienH>, att ya tout le mode qui resume ce quils ont dans leur tete mdr cherche pa,bully_support,none,no,none,yes
[2019-06-13 16:19:55], <michel_soutienv>, sophie tes toujours malade ca se voit,victim_support,none,no,none,no
[2019-06-13 16:19:56], <Adrien_soutienh>, Et toi Lucas tu as oublié,bully_support,none,no,none,no
[2019-06-13 16:19:57], <Silvia_Victime>, ensuite tu es juste trop conne de croire ce teubé ,victim,bully,yes,name_calling,no
[2019-06-13 16:20:10], <Silvia_Victime>, Mais de où Lucas putain,victim,none,no,none,no
[2019-06-13 16:20:17], <Silvia_Victime>, Arrête tes conneries tu es fatiguant,victim,none,no,none,no
